title,url,image,category,date,content
New cellular IoT module brought to market – designed for both LTE-M and NB-IoT,https://iot.eetimes.com/new-cellular-iot-module-brought-to-market-designed-for-both-lte-m-and-nb-iot/,https://iot.eetimes.com/wp-content/uploads/sites/2/2019/01/nrf9160-450x270.jpg,Technology Trends,"January 7, 2019","Nordic Semiconductor has announced the official roll-out of the first device in its new nRF91 series. Per the company, this new cellular IoT module offers more security features than similar modules in the market today. That’s because the nRF9160 features both Arm’s TrustZone as well as CryptoCell security.As if that’s not impressive enough, the nRF9160 System-in-Package (SiP) is drop-in–ready with GCF, FCC, and CE certifications, enabling deployment in cellular networks and cellular IoT products worldwide.Per author Heather Hamilton:In its announcement, Nordic explained that it partnered with Qorvo to achieve a SiP that looks closer to an integrated chip than a module, leveraging Qorvo’s RF front end, advanced packaging, and MicroShield technology. The module is designed to support global operation with a single SiP variant thanks to Nordic’s multimode LTE-M/NB-IoT modem, SAW-less transceiver, and Qorvo’s custom RF front-end solution.The nRF9160 is the first IoT module to use Arm’s Cortex M-33 CPU core and is supported by 1 MB of Flash and 256 kB of RAM on-board memory. Other features include a broad range peripheral set, analog and digital interfaces, 32 GPIOs, a standalone modem with full LTE capability, and a multi-band RF front end.Also worth pointing out: The nRF9160 SiP also has integrated GPS support, which allows both GPS and cellular data to be used for more accurate positioning, said the company.For those curious, the new IoT module is supported by a development kit, SiP module samples, LTE-M firmware, and an SDK with an application example for cloud connectivity. Its meant to help engineers get a jumpstart with sensor-to-cloud IoT applications. Its also meant to serve as a quick, go-to resource for accessing Nordic’s cloud-based nRF Connect for Cloud management tool, PC-based nRF Connect for Desktop tool, and Segger Embedded Studio.At the moment, NB-IoT and GPS functionality is in limited sampling and will be available for evaluation through firmware updates in the first quarter of 2019.Via our sister site Electronic Products"
"In the age of IoT, how do we dispose of e-waste?",https://iot.eetimes.com/in-the-age-of-iot-how-do-we-dispose-of-e-waste/,https://iot.eetimes.com/wp-content/uploads/sites/2/2018/12/ewaste-450x270.png,Technology Trends,"December 24, 2018","With the proliferation of IoT devices, e-waste is fast becoming a bigger and bigger problem. Per the International Telecommunication Union, the world produces approximately 45 million tons of electronic waste (e-waste) each year. And that number is expected to continue rising.You see, when the useful life of an electronic device comes to an end, how to properly dispose of it is a challenge. Electronic devices contain toxic components, which can be harmful to the environment. What’s more, because these devices often contain personal and proprietary data, improperly disposing of them also leaves sensitive data open to exploitation. As the average cost of a data breach continues to rise (according to IBM it is nearing $4 million), this is a growing problem as well.To address this issue head-on, the StEP Initiative was launched by the United Nations; however, more needs to be done to ensure the safety and well-begin of today’s global population as well as future generations to come.Right now, there are four worthwhile solutions to this issue:When an electronic device can’t be reused as a whole entity, it’s possible that some of its components might be safely recovered. Otherwise, the device can be recycled according to best-practice industry standards.But before we get to any of these steps, identifying and properly disposing of IoT devices requires a transparent, robust ITAD process. Thorough, certified data sanitization that is performed to accepted industry standards is the first step in sustainable technology management. And there are a few companies out there that can capably perform this service.Read the full story on our sister site EETimes"
Infineon’s new industrial-grade WLCSP eSIM chip expected to help excel adoption of cellular connectivity into industrial environments,https://iot.eetimes.com/infineons-new-industrial-grade-wlcsp-esim-chip-expected-to-help-excel-adoption-of-cellular-connectivity-into-industrial-environments/,https://iot.eetimes.com/wp-content/uploads/sites/2/2018/12/slm97-450x270.jpg,Technology Trends,"December 21, 2018","According to Infineon, the company has begun shipping volume quantities of the first industrial-grade wafer level chip scale package (WLCSP) embedded SIM.Prior to this, there was only consumer-grade eSIM products being shipped in a WLCSP-package. According to the company, it has managed to get its SLM 97 security controller qualified to industrial qualification requirements as defined per Jedec, including extended temperature range (-40 to 105°C) and reduced failure rates.Per author Nitin Dahad:To date, the ability to provide robust quality on a miniature footprint that works even under harsh industrial conditions has been a challenge for silicon providers. Infineon addressed this challenge head-on with the SLM 97 security controller, which measures only 2.5mm x 2.7mm in size.Via our sister site EETimes"
"IoT Predictions for 2019, according to ARM",https://iot.eetimes.com/iot-predictions-for-2019-according-to-arm/,https://iot.eetimes.com/wp-content/uploads/sites/2/2018/01/Fig01_IOTCloud-450x270.jpg,Technology Trends,"December 12, 2018","With 2018 coming to an end, Arm has taken the step to publish what the company believes will happen in 2019 for the internet of things (IoT). In conjunction with this list, the company also released the results of a consumer survey to share what end users think about the IoT, machine learning, artificial intelligence and 5G.But first, here are Arm’s IoT predictions:As per the Arm-sponsored survey, the report is the result of 2,000 consumers (handled by research firm Northstar) sharing their insight on their perspectives on 2018 technology trends and 2019 consumer expectations.Story via our sister site EETimes"
How to get customized IoT and industry 4.0 solutions,https://iot.eetimes.com/how-to-get-customized-iot-and-industry-4-0-solutions/,https://iot.eetimes.com/wp-content/uploads/sites/2/2018/01/story27-450x270.jpg,Technology Trends,"November 26, 2018","Bosch has brought to market fully customizable IoT and IIoT solutions by way of the company’s Connected Devices and Solutions and Bosch Mondeville divisions.The company is offering design engineers the chance to take advantage of customizable IoT manufacturing solutions. Specifically, smart IoT produces can be developed at Bosch Connected Devices and Solutions, before being handed over to be industrialized and manufactured at Bosch Mondeville.The goal in providing this service is to afford customers greater flexibility; that is, they can either work individually with just one of the two Bosch divisions or integrating both into their product’s development and production process.From the company’s announcement:Via our sister site IoT-Design-Zone"
"Mouser Electronics announces global distribution agreement with Sigfox, the world’s leading IoT services provider",https://iot.eetimes.com/mouser-electronics-announces-global-distribution-agreement-with-sigfox-the-worlds-leading-iot-services-provider/,https://iot.eetimes.com/wp-content/uploads/sites/2/2018/11/sigfox-450x270.jpg,Technology Trends,"November 21, 2018","A major partnership was announced between two leading companies last week: Mouser Electronics, widely viewed as one of the industry’s leading New Product Introduction (NPI) distributors, announced a global distribution agreement with Sigfox, the world’s leading Internet of Things services provider. By way of this agreement, Sigfox Sens’it Discovery solution and SDR dongle are now available at Mouser.For those unfamiliar, Sens’it Discovery is a customizable IoT solution that combines the Sens’it 3 device with the sensit.io application, along with Sigfox connectivity. The company touts a battery life of up to one year depending on use and frequency of messages. The device itself incorporates six different sensors (thermometer, hygrometer, light meter, accelerometer, magnetometer, reed switch) and a central button for multiple use cases. It works in any of the 53 countries and regions where Sigfox has coverage and can be configured to communicate in multiple areas with different Sigfox Radio Configurations RC1, RC2, RC3, or RC4.Specific to the developers out there, Sens’it offers a dedicated software development kit to help developers create their own firmware, rewrite the Sens’it behavior and use it for their own use case. A bit more to the point: The Sens’it device is a powerful and versatile device for anyone who wants to start with the IoT.From the announcement:Via our sister site IoT-Design-Zone"
Gartner: Top 10 strategic IoT technology trends expected over next 5 years,https://iot.eetimes.com/gartner-top-10-strategic-iot-technology-trends-expected-over-next-5-years/,https://iot.eetimes.com/wp-content/uploads/sites/2/2018/01/story23-450x270.jpg,Technology Trends,"November 14, 2018","At its symposium in Barcelona last week, Gartner presented its top 10 strategic IoT technology trends for 2018 to 2023. Among the notable technologies: New, special purpose chips, increasingly sophisticated and low-cost sensors, combined hardware and software for trust platforms plus deployment of new wireless technologies, all of which are expected to emerge as some of the top strategic Internet of Things (IoT) technologies.The following is the full list for review:1: Artificial Intelligence (AI)1: Artificial Intelligence (AI)According to Gartner, 14.2 billion connected things are forecasted to be in use in 2019, and that this total will reach 25 billion by 2021, producing an immense volume of data which, in turn, will help make IoT meaningful as AI is applied to a wide range of IoT information.2: Infonomics and Data Broking2: Infonomics and Data BrokingOver the next half-decade, the buying and selling of IoT data will become a major part of many IoT systems. As such, organizations will need to understand the risks and opportunities related to data broking and set appropriate IT policies in place.3: IoT Governance3: IoT GovernanceAs the IoT grows, the need for a governance framework that ensures appropriate behavior in the creation, storage, use and deletion of information related to IoT technologies will become increasingly important. This ranges from simple technical tasks to more complex issues—and everything in between.4: New Wireless Networking Technologies for IoT4: New Wireless Networking Technologies for IoTIoT networking involves balancing a set of competing requirements like endpoint cost, power consumption, bandwidth and more. While no single networking technology optimizes all of these yet, new IoT networking technologies will soon provide even more choice and flexibility. In particular network technologies like 5G, the forthcoming generation of low earth orbit satellites, and backscatter networks could be explored further.5: Novel IoT User Experiences5: Novel IoT User ExperiencesThe IoT user experience (UX) will be driven by four factors: New sensors, new algorithms, new experience architectures and context, and socially aware experiences. With an increasing number of interactions occurring with things that don’t have screens and keyboards, organizations’ UX designers will be required to use new technologies and adopt new perspectives if they want to create a superior UX.6: Sensor Innovation6: Sensor InnovationThe sensor market will continue to mature through 2023: New sensors will enable a wider range of events to be detected, current sensors will reduce in price or be packaged in new ways to support new applications and new algorithms will emerge to gather even more information.7: Shift from Intelligent Edge to Intelligent Mesh7: Shift from Intelligent Edge to Intelligent MeshThe move from centralized and cloud to edge architectures is already under way in the IoT space; however, this is not the end point. That’s because the set of layers associated with edge architecture will evolve to a more unstructured architecture comprising of a wide range of “things” and services connected in a dynamic mesh which, in turn, will enable more flexible, intelligent and responsive IoT systems.8: Silicon Chip Innovation8: Silicon Chip InnovationGartner states that while the majority of current IoT endpoint devices use conventional processor chips, traditional instruction sets and memory architectures aren’t well-suited to all the tasks that endpoints need to perform. As such, the research firm expects that by 2023, new special-purpose chips will reduce the power consumption required to run a DNN, enabling new edge architectures and embedded DNN functions in low-power IoT endpoints to support new capabilities such as data analytics integrated with sensors, and speech recognition included in low cost battery-powered devices.9: Social, Legal and Ethical IoT9: Social, Legal and Ethical IoTAs the IoT becomes more widely deployed, a range of social, legal and ethical issues will grow in importance, including ownership of data and the deductions made from it; algorithmic bias; privacy; and compliance with regulations such as the General Data Protection Regulation.10: Trusted Hardware and Operating System10: Trusted Hardware and Operating SystemBy 2023, Gartner expects to see the deployment of hardware and software combinations that together create more trustworthy and secure IoT systems. This will come about as the result of organizations currently not having control over the source and nature of the software and hardware being utilized in IoT initiatives.Read the full story on our sister site EETimes"
"To comply with GDPR, most data should remain at the edge",https://iot.eetimes.com/to-comply-with-gdpr-most-data-should-remain-at-the-edge/,https://iot.eetimes.com/wp-content/uploads/sites/2/2018/10/gdpr-3518254_1920-450x270.jpg,Technology Trends,"October 31, 2018","Barcelona–If there has been a theme capturing the attention of technology conferences’ attendees over the past two years, it would be GDPR.Barcelona–It doesn’t matter if the conversation is about wearables, 5G networks, Edge computing, payment systems, CCTV, or transit cards, at some point in the discussion the renowned four-letter acronym pops up. The recent IoT Solutions World Congress was no exception. During the session IoT, data and AI  as key levers of digital transformation,  Patrice Slupowski. Senior Vice-President Digital Innovation at Orange, argued that GDPR compliance is one the most challenging issues companies are facing when implementing IoT technologies.Slupowski praised the new regulation as the building stone to protect citizens from the dangers of data profiling and discrimination by algorithms.During his recent speech at the European Conference of Data Protection and Privacy Commissioners, Apple’s CEO Tim Cook praised the GDPR as an example that other governments should follow.“This year, you’ve shown the world that good policy and political will can come together to protect the rights of everyone. We should celebrate the transformative work of the European institutions tasked with the successful implementation of the GDPR…. It is time for the rest of the world, including my home country, to follow your lead.” Cook said.Worldwide, close to 8,000 new devices connect to the Internet every minute, 345 million per month, which will grow to an expected 50 billion by 2020. All these devices are designed to collect and transmit data.For example, most households in Europe and the US already have one connected device (wanted or not): the smart meter. Whether for electricity, gas, or water, smart meters collect thousands of data points per month, and sometimes every day.  smart meterThat data, attached to the resident’s account number, can be used to help the user choose a better service plan, adjust consumption, and improve the utility company’s forecast of the area demands. The same data, however, can also be used to determine the resident’s behavior, when the house or apartment is empty, what appliances are in use and, in some cases, how many people are on the premises. All of that without WiFi or any other internet connection service present in the house. Other examples include the increasing number of appliances on the market that are equipped with “smart features.” Smart TVs, refrigerators, washing machines, thermostats, etc. all these appliances, connected to the cloud via our WiFi and mobile apps, continuously send information about our habits, including what TV programs we watch, the food we buy, the clothes we wash and, obviously, the time we spend at home.Tim Cook was adamant about the dangers of over-collecting data: “These scraps of data, each one harmless enough on its own, are carefully assembled, synthesized, traded, and sold. Taken to its extreme, this process creates an enduring digital profile, and lets companies know you better than you may know yourself…. We shouldn’t sugarcoat the consequences: This is surveillance, and these stockpiles of personal data serve only to enrich the companies that collect them.” This is surveillanceThe GDPR is explicit: Data collected should be used only to provide the service or services that users signed up for. The only exception that doesn’t require explicit user consent is data needed to comply with government regulations.Otherwise, any company collecting data requires opt-in consent from the user or customer. And a customer’s refusal to opt-in cannot be used to deny access to the product or service.That’s why it is essential to implement privacy-by-design and keep raw collected data at the edge.Going back to the smart meter example: It is legal for a utility company to aggregate the data collected by hundreds of smart meters in one area (i.e., a city block) using a local gateway, and continuously send that aggregated data to their data centers, as long as it doesn’t include any individual metering. That helps the company manage the grid, forecast electricity use, and detect any problems or fraud in the area without invading individual privacy.Obviously, at the end of every billing cycle, the utility company needs to collect the total consumption of each home, but it will not have insight into the habits of individual customers.The GDPR and similar regulations appearing in countries such as Brazil and Singapore, are here to stay. Some companies are being investigated, and there are countries already filing cases against large corporations.We need corporations to take the letter and spirit of privacy regulations such as GDPR seriously, ensuring that privacy is respected and also helping people to trust adopting new technologies. "
IoTSWC 2018 endorses the Internet of Things as a key technology in the digital transformation,https://iot.eetimes.com/iotswc-2018-endorses-the-internet-of-things-as-a-key-technology-in-the-digital-transformation/,https://iot.eetimes.com/wp-content/uploads/sites/2/2018/10/iot-congress-450x270.png,Technology Trends,"October 23, 2018","The fourth IoTSWC (Internet of Things Solutions World Congress) registered a highly positive balance, demonstrating the widespread implementation of this technology in all kinds of sectors seeking to successfully address their digital transformation. The event on the industrial applications of the Internet of Things (IIoT), which came to an end yesterday at Fira de Barcelona’s Gran Via venue within the framework of Barcelona Industry Week, brought together 341 companies and 16,250 visitors from more than a hundred countries, respective rises of 42% and 16% compared to last year.Organised by Fira de Barcelona in partnership with the IIC (Industrial Internet Consortium), each year IoTSWC attracts leading companies in the development of this technology, as well as the finest international experts. Throughout three days of intense activity, IoTSWC mustered business and knowledge to debate the evolution of the Internet of Things and its convergence with other disruptive technologies such as artificial intelligence and blockchain, both of which had a greater presence this year.Roger Bou, Director of IoTSWC, expressed his great satisfaction with “the fair’s increasing convening power, its noticeably international nature and the qualified profiles of the visitors who come to this technological event. All the above confirms the interest aroused by the rapid evolution and deployment of the IoT in all kinds of sectors, the need to identify real applications and pool knowledge and the increase in the demand for solutions for the digital interconnection of objects and processes”. “the fair’s increasing convening power, its noticeably international nature and the qualified profiles of the visitors who come to this technological event. All the above confirms the interest aroused by the rapid evolution and deployment of the IoT in all kinds of sectors, the need to identify real applications and pool knowledge and the increase in the demand for solutions for the digital interconnection of objects and processes”. Richard M. Soley, Executive Director of the IIC and President of the IoTSWC advisory committee, declares that: “IoTSWC’s growth certifies that not only it has established itself as the international benchmark event for the industrial internet but also as a platform for the dissemination of new standards and technologies that will accelerate the deployment of IoT solutions worldwide and will help companies transform their business and gain a competitive edge in a key moment for many industries”.“316 speakers participated in the congress schedule this year. More than 200 highly-attended talks, panel discussions and presentations of success stories involving IoT applications in different industrial environments were held, as well as others in areas related to energy and supplies, connected transport, construction, infrastructures and healthcare. Similarly, IoTSWC incorporated the Blockchain Solutions World and a specific seminar on cryptoeconomics and business investment opportunities based on this technology, as well as the AI & Cognitive Systems Forum focusing on new developments in artificial intelligence.Another new feature of this year’s IoTSWC was a special session devoted to analysing the leadership role of women in the IoT ecosystem, with the presence of female directors of firms such as Google Cloud, Big Belly, IoT Global Initiative, Hitachi, ABB and Microsoft. Three workshops endorsed by the IIC were also conducted to examine aspects of IoT technology and artificial intelligence.Testbeds and awardsOne of the spaces most highly valued by visitors was the Testbeds area, where a dozen IoT-based prototypes and projects jointly developed by leading companies were exhibited. This year the exhibition included a smart buoy to monitor water quality in Alaska and save beluga whales, a smart gate that opens when the owner arrives, a solution to analyse and scan the customer’s foot in order to design and manufacture custom shoes in 3D, a fully connected and sensorised fire engine to identify the status of its equipment in real time, as well as smart wearables for the prevention of occupational hazards, solutions for the interconnection of processes in the factory of the future and a powerful platform to plug in, connect and use any IoT device in a matter of seconds, among many others.Testbeds and awardsMore specifically, the latter solution developed by Intel, ARM and Pelion won the award for the best testbed of the fair at the IoT Solutions Awards, which also acknowledged Huawei, IoTerop-Synox and Nokia as the companies with the most innovative IoT projects over the last year.The fifth IoTSWC is due to be held at Fira de Barcelona’s Gran Via venue from 29 to 31 October 2019."
High-performance audio speakers to help lead to highly advanced vehicle infotainment solutions,https://iot.eetimes.com/high-performance-audio-speakers-to-help-lead-to-highly-advanced-vehicle-infotainment-solutions/,https://iot.eetimes.com/wp-content/uploads/sites/2/2019/07/taoglas-450x270.jpg,Technology Trends,"July 23, 2019","Taoglas is making quick entry into the IoT market, following its recent acquisition of ThinkWireless. The company, a provider of IoT and automotive antenna and RF solutions, has announced the launch of high-performance speakers to its product line.Dermot O’Shea, Joint CEO and Co-founder of Taoglas:“The automotive and commercial trucking industries are experiencing huge demands for extra connectivity, infotainment, content and mobile services. Our entry into the speaker ecosystem is a testament to Taoglas’ evolution as a leading provider of highly advanced vehicle infotainment solutions. While many consumers may not appreciate the level of engineering and production sophistication required to consistently produce OEM high-quality automotive speakers, they are actually a critical solution that are often taken for granted for services, such as smart navigation, emergency alert systems and infotainment. Our strength in RF simulation, environmental reliability and testing via anechoic chambers will deliver a crisp and enjoyable audio experience for drivers worldwide, and our custom solution offering is unique in the market. Designers no longer have to accept what is already out there, they can have a speaker optimized for their install and environment at a competitive cost.”“The automotive and commercial trucking industries are experiencing huge demands for extra connectivity, infotainment, content and mobile services. Our entry into the speaker ecosystem is a testament to Taoglas’ evolution as a leading provider of highly advanced vehicle infotainment solutions. While many consumers may not appreciate the level of engineering and production sophistication required to consistently produce OEM high-quality automotive speakers, they are actually a critical solution that are often taken for granted for services, such as smart navigation, emergency alert systems and infotainment. Our strength in RF simulation, environmental reliability and testing via anechoic chambers will deliver a crisp and enjoyable audio experience for drivers worldwide, and our custom solution offering is unique in the market. Designers no longer have to accept what is already out there, they can have a speaker optimized for their install and environment at a competitive cost.”The company’s new dual, full-range, high-sensitivity speakers deliver distortion-free audio, high fidelity and high-power handling sound. Well-priced, the company prides itself as the provider of premier quality audio solutions for the everyday man.What’s more, the company points out that this new line of speakers can be customized for IoT applications like alarm panels, remote alert systems, and industrial communication applications for warehouse and logistic sites.A running list of the new speakers includes:The new coax-speaker series include:Taoglas’s audio speakers will be made available for purchase via the Taoglas website, through key distribution partners. For more information, visit www.taoglas.com.Story via prnewswire.com"
