title,url,image,category,date,content
Contact lens: You blink and you zoom in,https://techxplore.com/news/2019-07-contact-lens.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/5d4083cac5bda.jpg,Engineering,"Jul 30, 2019",Researchers are in the news this week because of their soft biomimetic lens. Blink twice and you get yourself a closer look at things. Activated soft elastomer works to increase focal length.
US issues hacking security alert for small planes,https://techxplore.com/news/2019-07-issuing-hacking-small-planes.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/usissuinghac.jpg,Security,"Jul 30, 2019","The Department of Homeland Security issued a security alert Tuesday for small planes, warning that modern flight systems are vulnerable to hacking if someone manages to gain physical access to the aircraft."
Google builds gesture controls into new Pixel phone,https://techxplore.com/news/2019-07-google-gesture-pixel.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/googlewhichi.jpg,Consumer & Gadgets,"Jul 30, 2019",Google on Monday revealed that it is building gesture controls and face recognition into a next-generation Pixel smartphone as it looks to fuel early enthusiasm for its upcoming flagship handset.
Tech companies not doing enough to protect users from phishing scams,https://techxplore.com/news/2019-07-tech-companies-users-phishing-scams.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2018/phishing.jpg,Security,"Jul 30, 2019","Technology companies could be doing much more to protect individuals and organisations from the threats posed by phishing, according to research by the University of Plymouth."
"One hack, 106 million people, Capital One ensnared by breach",https://techxplore.com/news/2019-07-capital-massive-breach.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/onehack106mi.jpg,Security,"Jul 30, 2019","A security breach at Capital One Financial, one of the nation's largest issuers of credit cards, compromised the personal information of about 106 million people, and in some cases the hacker obtained Social Security and ..."
Alibaba reveals processor based on RISC-V architecture,https://techxplore.com/news/2019-07-alibaba-reveals-processor-based-risc-v.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2018/chip.jpg,Hardware,"Jul 29, 2019",An Alibaba chip subsidiary Pingtouge has launched a chip processor suited for high performance applications. It's a RISC-V processor.
Hackers could use connected cars to gridlock whole cities,https://techxplore.com/news/2019-07-hackers-cars-gridlock-cities.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/hackerscould.jpg,Automotive,"Jul 29, 2019","In the year 2026, at rush hour, your self-driving car abruptly shuts down right where it blocks traffic. You climb out to see gridlock down every street in view, then a news alert on your watch tells you that hackers have ..."
AI-powered tool predicts cell behaviors during disease and treatment,https://techxplore.com/news/2019-07-ai-powered-tool-cell-behaviors-disease.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/aipoweredtoo.jpg,Machine Learning & AI,"Jul 29, 2019","Large-scale atlases of organs in a healthy state are soon going to be available, in particular, the Human Cell Atlas. This is a significant step in better understanding cells, tissues and organs in healthy state and provides ..."
Using artificial intelligence to fill in gaps in ancient texts,https://techxplore.com/news/2019-07-artificial-intelligence-gaps-ancient-texts.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/4-usingartific.jpg,Machine Learning & AI,"Jul 29, 2019",Enrique Jiménez makes use of artificial intelligence to fill in the many tantalizing gaps in the surviving texts written on clay tablets by scribes in early urban societies 3000 years ago.
"AI researcher offers insight on promise, pitfalls of machine learning",https://techxplore.com/news/2019-07-ai-insight-pitfalls-machine.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/airesearcher.jpg,Machine Learning & AI,"Jul 29, 2019","These days, the latest developments in artificial intelligence (AI) research always get plenty of attention, but an AI researcher at the U.S. Naval Research Laboratory believes one AI technique might be getting a little too ..."
How to make electrical muscle stimulation feel natural to virtual reality users,https://techxplore.com/news/2019-07-electrical-muscle-natural-virtual-reality.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/howtomakeele.jpg,Consumer & Gadgets,"Jul 29, 2019","If there's one familiar sound whenever a volunteer tries out an interactive device that uses electrical muscle stimulation, it is probably laughter. Even for experienced users of the technology, the sensation of a machine ..."
"Solar flares, bubble rings, and ink chandeliers",https://techxplore.com/news/2019-07-solar-flares-ink-chandeliers.html,https://3c1703fe8d.site.internapcdn.net/newman/csz/news/175u/2019/solarflaresb.jpg,Engineering,"Jul 29, 2019","Engineers from Caltech have generated a computer simulation of underwater bubble rings that is so realistic it is virtually indistinguishable from a video of the real thing. The point of the research, however, lies well beyond ..."
