title,url,image,category,date,content
NASA's Green Fuel Satellite Jumps Its First HurdleHailey Lynne McKeefry,https://www.eetimes.com/document.asp?doc_id=1334905,https://m.eet.com/media/1312663/Ball_Aerospace_commissions_small_satellite.jpg,Military & Aerospace Designline,07.10.19,"Like the auto industry, space flight is going green by looking for new and sustainable fuel sources. Today, it is eying fuel options that are safer to handle than the highly toxic fuel, hydrazine. Last week, Bell Aerospace officially commissioned NASA's Green Propellant Infusion Mission (GPIM) and begun on-orbit testing of a non-toxic, high-performance propellant. The mission launched on June 25, 2019 at 2:30 a.m. EDT on board a SpaceX Falcon Heavy rocket. ""This mission has been an excellent example of an industry-led team involving multiple NASA centers, the Air Force and industry partners to test this new high-performance fuel using a Ball small satellite,"" said Dr. Makenzie Lystrup, vice president and general manager, Civil Space, at Ball Aerospace.The new green propellant will be an enabling technology for commercial spaceports operating across the United States, according to NASA.The green propellant makes fuel loading safer, cheaper, and more efficient.  and much less costly. The mission hopes to shorten ground processing time from weeks to days, which in turn reduces costs, and to simplify building and operating satellites. “The space technology infusion mission also strives to optimize performance in new hardware, system and power solutions while ensuring the best value for investment and the safest space missions possible,” NASA claimed.Ball Aerospace designed and built the Ball Configurable Platform (BCP) small satellite, which contains NASA's first opportunity to demonstrate the practical capabilities of a ""green"" propellant and propulsion system in orbit. The GPIM project will demonstrate the practical capabilities of this Hydroxyl Ammonium Nitrate fuel/oxidizer blend, which reduces toxicity levels compared to hydrazine and is easier and safer to store and handle.  The alternative to conventional chemical propulsion systems is called AF-M315E and was developed by the Air Force Research Laboratory.  “AF-M315E is expected to improve overall vehicle performance,” NASA said. “It boasts a higher density than hydrazine, meaning more of it can be stored in containers of the same volume. In addition, it delivers a higher specific impulse, or thrust delivered per given quantity of fuel, and has a lower freezing point, requiring less spacecraft power to maintain its temperature.” GPIM is part of NASA's Technology Demonstration Missions program within the Space Technology Mission Directorate (STMD). Ball Aerospace’s Christopher McLean serves as the principal investigator for the program. Meanwhile, thrusters designed and built by Aerojet Rocketdyne provide propulsion for the spacecraft.""The successful commissioning of our thrusters and propulsion system is a positive step toward fully qualifying our green propulsion system in space,"" said Joe Cassady, executive director of space at Aerojet Rocketdyne. ""This technology will enable propulsive capabilities for a new generation of small satellites, including new mission capabilities.""The program will test the thruster capabilities by verifying the propulsion subsystem, propellant performance, thruster performance, and spacecraft attitude control performance over the first three months. Testing of secondary payloads will occur over the remaining time in the 13-month testing period. Ball Aerospace, as the prime contractor, is tasked with system engineering; flight thruster performance verification; ground and flight data review; spacecraft bus; assembly, integration and test; and launch and flight support.  At the end, the project will present the fuel, as well as compatible tanks, valves and thrusters, for use by NASA and for commercial spaceflight applications. The small satellite, which is about the size of a mini refrigerator, was built in just 46 days.  Currently, two other BCP small satellites are also on orbit: STPSat-2, which launched in November 2010, and STPSat-3, which launched in November 2013. The two STP satellites were built for the U.S. Air Force Space Test Program's Standard Interface Vehicle (STP-SIV) project, Ball said.— Hailey Lynne McKeefry, Editor in Chief,  EBN "
Eta's Ultra Low-Power Machine Learning Platform Maurizio Di Paolo Emilio,https://www.eetimes.com/document.asp?doc_id=1334903,https://m.eet.com/media/1312661/Etafig4.jpg,AI & Big Data Designline,07.10.19,"Eta Compute has developed a high-efficiency ASIC and new artificial intelligence (AI) software based on neural networks to solve the problems of edge and mobile devices without the use of cloud resources.Future mobile devices, which are constantly active in the IoT ecosystem, require a disruptive solution that offers processing power to enable machine intelligence with low power consumption for applications such as speech recognition and imaging.These are the types of applications for which Eta Compute designed its ECM3531.The IC is based on the ARM Cortex-M3 and NXP Coolflux DSP processors. It uses a tightly integrated DSP processor and a microcontroller architecture for a significant reduction in power for the intelligence of embedded machines. The SoC includes an analog to digital converter (ADC) sensor interface and highly efficient PMIC circuits. The chip also includes I2C, I2S, GPIOs, RTC, PWM, POR, BOD, SRAM and Flash. The patented hardware architecture (DIAL) is combined with fully customizable CNN-based algorithms to perform machine learning inference in hundreds of microwatts.The processor, named Tensai, can be used with the popular TensorFlow or Caffe Software. This solution can support a wide range of applications in audio, video and signal processing where power is a strict constraint, such as in UAV (unmanned aerial vehicles) markets, in the Internet of things (IoT) and wearable markets.ECM3531SP includes pretrained learning machine speech recognition and keyword spotting applications. ECM3531PG pretrained photoplethysmogram (PPG) application and ECM3531SF includes machine algorithms for fusion of gyro, magnometer, and accelerometer sensors (Figure 1).The patented hardware architecture is combined with the fully customizable Eta Compute algorithms based on CNN, LSTM, GRU and SNN (spiking neural network) to perform machine learning inference in very few mW. Eta provides kernel software for convolutional neural networks on Coolflux's DSP, which are scalable compared to other NN (neural networks) and which will reduce an additional 30% of the power with asynchronous technology.Tensai's computational properties offer 30-fold power reduction in a specific CNN-based image classification benchmark — unlike other Cortex-M7-class microcontrollers. Eta Compute has reached 0.04mJ per image out of 8 million operations (figure 2).The high energy efficiency ASIC and the CNN software developed by Eta Compute avoid the need for numerous training samples for peripheral applications, where the amount of resources (both memory and calculation) is limited. A recent benchmark reached by Eta Compute was an improvement of 2-3 orders of magnitude in the efficiency of the model compared to various variants of neural networks for keyword recognition by consuming only 2 mW of power.For sensing applications, particularly for motion and environmental sensors, the Eta Compute methodology allows sensor hubs to execute more extensive sensor algorithms by providing data and updates in real time from mobile network devices and the Internet of Things (IoT). The collaboration with Rohm Semiconductor has enabled the development of a Wireless Smart Ubiquitous Network (Wi-SUN) which is compatible with sensor nodes. The nodes will combine Rohm sensor technology and Eta Compute's low-power MCUs to offer solutions for intelligent utility and IoT networks for smart cities. They will be designed for frequent low-latency communications that absorb less than 1 μA during rest and, more importantly, only 1 mA during detection.Eta Compute believes that neural network technology will play a key role in enabling intelligent peripheral devices. Thanks to the ability to learn and process sensory data directly on the margins in an energy efficient manner, new ASICs will provide relief to the bandwidth requirements needed to send raw data to a cloud-based learning service. The energy efficiency of neuromorphic processors will also allow ""always on"" solutions without suffering from handicaps deriving from power requirements.Next page: Where Tensai fits into the AI marketNext page: Where Tensai fits into the AI market  "
Fab Tool Outlook Clouds Further Dylan McGrath,https://www.eetimes.com/document.asp?doc_id=1334906,https://m.eet.com/media/1312666/semi_west-2019_800_2-min.png,Memory Designline,07.10.19,"SAN FRANCISCO — The semiconductor industry’s temperature has gone from lukewarm to freezing as the year has evolved, with analysts who had once forecast modest growth now projecting that IC sales will contract by a double-digit percentage.This week, at Semicon West — the semiconductor equipment and materials industry’s annual tradeshow — the SEMI trade association delivered revised forecasts for the year that call for wafer fab equipment sales to decline by roughly 18% this year. SEMI now expects sales of semiconductor materials to decline slightly this year.RecommendedIntel Shows Next Steps in PackagingRecommendedIntel Shows Next Steps in Packaging“After three years of consecutive growth from 2016 through 2018, we are seeing a big correction in 2019,” said Clark Tseng, director of industry research and statistics at SEMI. “Actually, we saw this coming in the second half of 2018, but the correction seems to be bigger than we expected.”Indeed, after consecutive all-time record sales of $56.6 billion in 2017 and $64.5 billion in 2018, wafer fab equipment sales are now projected to fall to $52.7 billion in 2019. And while SEMI is forecasting that equipment sales will rebound to grow 11% next year, reaching $58.8 billion, whether that will actually happen is a matter of considerable debate.A number of factors that dragged down chip sales in the first half of the year are still at issue, including the near-freefall of memory chip prices from their lofty peak in early 2018, excess inventory at many suppliers, weaker-than-expected demand, and ongoing trade tension between the U.S. and China. Tseng said that he expects these headwinds to continue in the second half of the year and that slower-than-expected inventory digestion could result in chip inventories remaining out of whack through the end of 2019.“The demand has not fallen off, but the inventory issue was a lot more severe than people expected,” said Mario Morales, vice president of enabling technologies, storage, and semiconductor research at IDC.Amid oversupply, memory chip suppliers have slashed capital expenditures for the year by about 40% compared with 2018. Tseng said that he expects a recovery in capex for both DRAM and NAND flash to recover in 2020, beginning with NAND. He expects DRAM capex to recovery to roughly the level of 2017 next year and expects to see NAND capex increase by more than 50% compared to this year.But not all analysts are convinced that 2020 will see a recovery in capital equipment spending.“I’m looking for an equipment recovery starting in the Q3 2020 time frame and not before that,” said CJ Muse, a managing director and senior equity research analyst at investment banking firm Evercore ISI, during the annual Semicon West “Bulls and Bears” panel."
Memory Startup Targets High-Performance ComputingNitin Dahad,https://www.eetimes.com/document.asp?doc_id=1334908,https://m.eet.com/media/1312673/ComputerrunningBlueshiftFPGAcard.jpg,Memory Designline,07.10.19,"A Cambridge UK-based startup is looking to address the memory bottleneck (or tailback) in high-performance computing with a new memory chip design dedicated to handling large data sets and time-critical data.Blueshift Memory, which was started by and currently consists of a team of three computer scientists, has successfully demonstrated its new memory model in a Xilinx FPGA. The company is now on the hunt for investors to fund the development of a chip.We spoke to Peter Marosan, CTO of Blueshift Memory, to find out exactly what the company is trying to do. It is essentially optimizing the memory architecture so that large data sets and time-critical data can be more efficiently handled, hence speeding up memory access speeds up to 1,000 times for specific data-focused applications.He said, “We use DRAM as the main memory (not Flash) and store the data in a different way inside the memory by changing the wiring in the memory module. Current memory modules are too general; our solution is targeted at time-critical data and large data sets.”Marosan said the new memory design is one in a wave of radical changes in computer memory emerging from different companies around the world, which aim to address the struggle for high performance computers to keep pace with society’s spiraling data demands. He said computer memory chips (usually RAM) are just not improving as quickly as their central processing units (CPUs).This creates a ‘tailback’ in processes where high-performance computers perform large-scale operations, like database searches with millions of possible outcomes. Data stacks up in a slow-moving queue between the CPU and the less-efficient memory. Blueshift said its new design reorganizes the way in which a memory chip handles these operations, so that it delivers data to the CPU much faster. With it, operations could take minutes, or even seconds, rather than hours.Blueshift’s team analyzed and categorized thousands of algorithms used by companies to solve complex data problems. They then designed the chip so that it arranges data in preparation for these tasks — an approach that could be combined with any type of memory cell technology.Its initial model implemented in an FPGA to emulate the chip’s effects has yielded some impressive results, according to Blueshift. Simulations using this card suggest that the chip could, for example, make searches of vast databases used to match fragments of DNA in scientific research, or in criminal investigations, 100 times faster. In other tests, algorithms used in weather forecasting and climate change modelling could also run 100 times faster using the chip. Better memory chips could also accelerate the more data-hungry aspects of home computing. Blueshift’s prototype makes rendering films in video editing software 10 times faster, for example; it could also improve the processing speeds of virtual reality headsets by a factor of up to 1,000.The company said its design could also make it much easier to program some data operations, because it would remove the need to include complex instructions about how to handle the vast quantities of data involved. “It would make some big data programming as straightforward as the basic data searches that computing students learn to write in high school,” Marosan said.For example, the artificial intelligence (AI) in autonomous vehicles needs to process huge quantities of data quickly to make decisions. Or in connected in smart cities, fast, real-time data processing on a large scale will be essential to manage traffic flows, utility supplies, and even evacuation procedures in times of danger.Once the company manages to validate its own chip, it then plans to license its technology to memory module manufacturers. Marosan said, “Our strategy is ready, our prototype is ready, and we know who our partners will be. We now just need the funding to create the chip.”Marosan told us they are having conversations currently with DRAM and FRAM manufacturers, and also looking to speak with high bandwidth memory (HBM) makers."
Intel Shows Next Steps in PackagingRick Merritt,https://www.eetimes.com/document.asp?doc_id=1334899,https://m.eet.com/media/1312645/IntelCoEMIBcover-min.png,SoC Designline,07.09.19,"SAN FRANCISCO — Intel gave a first glimpse of three packaging technologies on its roadmap at a gathering on the sidelines of Semicon West here. The most interesting of the three may debut in the exascale supercomputer Intel is building for the U.S. Department of Energy.The trio of techniques aim to give Intel’s processors an edge at a time when advances in conventional silicon scaling are slowing and getting more expensive. They arrive as rival TSMC expands its portfolio of chip stacks, and two consortia hope to set standards in the area.MDIO is the next-generation of Intel’s AIB, a physical interface for stacking chiplets it released last year as part of a DARPA program. Intel claims MDIO is on par with advances rival TSMC announced last month. It will use the interface in chip stacks starting sometime in 2020 but has not decided if it will make the spec open.The most interesting of the three new techniques is Co-EMIB. A combination of Intel’s latest 2D and 3D stacking techniques, it likely will see its first use as a way to link CPU and GPU cores in the Aurora supercomputer Intel and Cray won a $500 million contract to deliver before the end of 2021.Prototypes shown here of Co-EMIB wafers and devices stacked 18 small die on one large one using the Foveros 3D technique Intel announced in December. Two of the devices were then connected using four of its Embedded Multi-die Interconnect Bridge (EMIB) links using 45- and 55-mm bump pitches.Intel has shipped as many as a million devices using EMIB in Stratix X FPGAs and Kaby Lake G, an integrated CPU/GPU module. Next year it will ship Lakefield, an integrated notebook processor slated to be its first chip using Foveros.Currently,Intel suffers transport delays making the face-to-face Foveros stacks because the process is split between a front-end line in Oregon and a back-end line in Arizona. Once it moves the process to one location, turn around times should be about two weeks.The third new option is so far just a research project. Omni Directional Interconnect (ODI) is a 70mm thick vertical link for delivering power to a chip.Next page: Packages with 2X reticle dice on the horizonNext page: Packages with 2X reticle dice on the horizon"
"A Week in European Automotive: Reinventing the Car, Last Mile RobocarsNitin Dahad",https://www.eetimes.com/document.asp?doc_id=1334900,https://m.eet.com/media/1312650/REEFlatChassis.png,Automotive Designline,07.09.19,"“We’re disrupting the automotive industry!"" That’s a common claim from many briefings we get from emerging startups. Last week was not unusual — one told us how they’ve solved the challenge of producing roadworthy autonomous delivery vehicles for last mile delivery; another has ‘reimagined’ the vehicle by integrating all the components found under the hood of a car into the wheel.Both are at early stages; both claim investment interest from retailers and Tier 1s in the automotive manufacturing supply chain.A Modular EV Platform, All Built into The WheelA Modular EV Platform, All Built into The WheelIsraeli startup REE, which came out of stealth mode today, has a flat and modular platform that fundamentally changes the way electric vehicles (EVs) will be built. The company integrates all of the components formerly found under the hood into the wheel. It says it offers optimal freedom of design, and the potential for multiple body configurations on a single platform.Putting the motor, steering, suspension, drivetrain, sensing, brakes, thermal systems and electronics in the wheel leaves a ‘flat’ platform. This provides a low center of gravity to maximize efficiency and supports the vehicle’s agility and stability. The design also drastically reduces its footprint, weight, and improves both energy-efficiency and performance — aspects crucial for electric and autonomous vehicle development.In an interview with EE Times, Daniel Barel, co-founder and CEO of REE, told us, “The industry is still using 80-year old concepts for car design, even though the technology has changed. There have been many advances, but these have still only been incremental, and it doesn’t make sense to build EVs based on these old concepts.”He said they wondered, “What if we could build a rolling chassis platform that is modular and would still be appropriate even one hundred years from now?” He added that the single biggest expenditures for an OEM was the platform, which can cost billions of dollars, which is why they started developing a platform that could support any shape and size of car.REE’s platform provides automakers, mobility providers and delivery companies a tailor-made solution. Based on a novel quad-motor system, and including active height-levelling suspension, steer-by-wire and a smart quad-gear box, the technology provides the basis of any type of vehicle from a high performance car able to do 0-60 mph in less than 3 seconds to an off-road SUV with advanced active suspension technology. The platform can also be used as the base of a robotaxi or even a 10-ton cross country truck.By adopting a universal framework, this can replace the multiple platforms that OEMs develop, resulting in substantial savings. The design and validation of each platform traditionally costs manufacturers $20 billion. By enabling them to utilize one platform for all of their vehicles, costs could be slashed, while performance, safety, comfort and energy efficiency can all be matched or improved.Barel said they’ve been validating the technology for the last six years in stealth. In early 2018, they established some initial discussions with a Tier 1 and an OEM to gauge interest. “They loved our idea and became investors and also wanted us to expedite what we were doing.” Since then, REE has been building its network and establishing relationships with players such as Mitsubishi, NSK, Tenneco and FCA. The company is essentially the system integrator, developing both the hardware, including electronics, and software, selling its wheel to the tier one manufacturers and OEMs.Although Barel wasn’t prepared to disclose funding to date, he said it’s sub-$100 million. The company employs around 100 people, 50 of whom are based in Israel. He added that the full solution will be presented with its partners later this year and manufactured globally. Barel is also co-founder of SoftWheel, a developer of in-wheel suspension technology for personal mobility, which has raised $40 million to date and announced investment from Mitsubishi Corp. last year.Next page: ‘First’ Roadworthy Last Mile Autonomous Delivery Vehicle Next page: ‘First’ Roadworthy Last Mile Autonomous Delivery Vehicle "
Cisco Bids $2.6B for AcaciaRick Merritt,https://www.eetimes.com/document.asp?doc_id=1334901,https://m.eet.com/media/1312653/fiber-optic-2749588_1280-min.jpg,Wireless and Networking Designline,07.09.19,"SAN JOSE, Calif. — Cisco aims to increase both its revenues and profit margins in an optical networking market shifting to components with its $2.6 billion bid for Acacia Communications. The deal would put the Ethernet giant in the long-distance market for the first time and help it retain business from web giants who are increasingly buying optical modules directly from component makers.Acacia sells coherent optics, digital signal processors (DSPs), photonic integrated circuit modules, and transceivers running up to 600G for large data centers and telcos, as well as OEMs such as Cisco rival Arista Networks. Its latest-generation modules can be used for distances spanning everything from inside a data center to undersea cables.“That helps simplify things for customers who won’t have to think about purpose-built components for those [different distance] segments now,” said Bill Gartner, general manager of Cisco’s optical system and component group.Cisco has an existing business in optical modules that it provides for its own systems and sells to other OEMs. However, it is currently “primarily 10–100G — all short-reach — for inside the data center … so this is a top-line expansion,” said Gartner, who insisted that Cisco will be even-handed as a module supplier.“If we are going to make this successful, we have to provide third parties what they want, when they want it, and at the right price point. We can’t make this successful if we give Cisco preference on any of those parameters.”The reason that the largest data center operators are increasingly buying optical modules directly from component suppliers is to avoid the high margins charged by switch and router makers. The Acacia deal would help Cisco retain that business and give it an edge in lower module costs than its OEM rivals.Cisco pegs coherent optical networks as a multi-billion-dollar market, shifting from systems to modules, but still in an early stage. As the industry shifts “from chassis to pluggable [modules], we need to think about how the network architecture will evolve, and we want to be in a position to influence that architecture with customers,” said Gartner.Cisco is already shipping optical systems supporting 400G links. However, the optical modules to enable them won’t sample until late this year and won’t ramp to volume sales until early 2020, he said.The deal will make it harder for Cisco’s OEM rivals — Arista, Ciena, Huawei, Infinera, Juniper, and Nokia — to compete in core routers, Ethernet switches, and optical transport equipment, said Vladimir Kozlov, chief executive of market watcher LightCounting. However, the rivals may throw more business to module makers such as Finisar, Fujitsu, Lumentum, NEC, and others.Longer term, Acacia’s expertise combined with talent acquired earlier with Luxtera — a supplier of short-reach optical modules used inside the data center — will help Cisco manage a transition to silicon photonics.“We will see a silicon/optics merger,” said Kozlov. “The industry is still thinking through what that architecture looks like, what’s in silicon, and what comes off the chip. There’s a lot of heavy lifting to figure out, but with Acacia, Cisco, and Luxtera, we have all the parts to drive whichever way the industry wants to go.”Cisco currently has more than 2,000 optical networking customers, a mix of web giants, telcos, and large businesses. About a quarter of Acacia’s sales are DSPs and photonic integrated circuits, and the rest are modules.Cisco declined to discuss any plans for layoffs or cost savings until the deal closes in the second half of its fiscal 2020. The deal requires regulatory approvals, including one from China, a potential snare given the U.S./China trade war in tech.The U.S. ban last year on sales to ZTE — Acacia’s largest customer — and its ban on Huawei this year limited Acacia’s growth and lowered its valuation, LightCounting said. Nevertheless, it called the $2.6 billion bid with its 40% premium on Acacia’s stock price a “respectful value” for the 400-person company."
On-Chip Cooling Emerges to Take the HeatGeorge Leopold,https://www.eetimes.com/document.asp?doc_id=1334897,https://m.eet.com/media/1312607/JetCool1.png,Military & Aerospace Designline,07.08.19,"Processing-intensive applications ranging from AI chips and hyperscale datacenters to aerospace applications and all those devices being integrated into electric cars are generating boat-loads of heat. As conventional thermal management techniques fail to keep pace up with all that hot air, an MIT spinoff has come up with a new way to cool electronics.After nearly five years of development, JetCool Technologies recently emerged from stealth mode with an approach it calls micro-convective cooling. The technology uses small fluid jets the company’s CEO said can be integrated into electronic devices.JetCool CEO Bernie Malouin said the ability to place the fluid jets adjacent to where heat is being generated would yield a ten-fold increase in cooling efficiency compared with the current state of the art. The startup also claims comparable size and weight reductions for aerospace applications.Micro-convective cooling also is touted as delivering 90 percent of the performance of current cooling technologies since it can be integrated as a heat sink on a silicon substrate without the need for exotic semiconductor materials or complex coding, Maloiun said.Spun out from MIT in January, JetCool seeks to leverage a $2 million investment in technology development to address growing cooling requirements as datacenters, for example, strain to handle machine learning and other computing-intensive workloads. Malouin also noted the need for better cooling technologies in electric vehicles as more devices are integrated into designs, straining power management systems.“Those folks are pushing the limits in terms of cooling,” Malouin noted in an interview.The startup rolled out its micro-convective cooling approach at this year’s International Microwave Symposium in Boston. JetCool was named the event’s “Next Top Startup.”JetCool is targeting its technology at military and aerospace applications such as power amplifiers and RF components. E-car applications include power inverters and infotainment consoles. It is also geared to wireless applications like optical networking and 5G transmitters.The best opportunity to scale the cooling technology appears to be enterprise datacenters that are increasingly powered by graphics processors — often coupled with CPUs — as well as emerging AI chips and ASICs. All are being employed to handle demanding workloads as companies roll out more distributed applications.Many of those use cases represent a doubling or tripling of power density levels, prompting datacenter operators to look for new ways to dissipate heat generated by racks of servers.The startup’s approach also reflects expanding research into new ways to cool electronics as heat generation and power dissipation soar. Current thermal management approaches involving remote cooling only work by adding weight and volume to electronic components.MIT launched its micro-convective cooling effort in 2012. The same year, the Defense Advanced Research Projects Agency initiated a related program called Intrachip/Interchip Enhanced Cooling. Also known as ICECool, the DARPA program explored embedded thermal management techniques, including the integration of microfluidic cooling inside a substrate, chip or package. Among the goals was incorporating new thermal management techniques into the chip design process. — George Leopold is the former executive editor of EE Times and the author of Calculated Risk: The Supersonic Life and Times of Gus Grissom (Purdue University Press, Updated, 2018).— George Leopold is the former executive editor of EE Times and the author of  (Purdue University Press, Updated, 2018)."
"Xilinx Ships Heterogeneous Chips for AI, 5GSally Ward-Foxton",https://www.eetimes.com/document.asp?doc_id=1334898,https://m.eet.com/media/1312612/CAROXilinxVersalBlockDiagram.jpg,Programmable Logic Designline,07.08.19,"LONDON — Xilinx has shipped the first Versal devices to select customers as part of its early access program, a milestone for the company’s heterogeneous compute architecture. Versal devices use Xilinx’s adaptive compute acceleration platform (ACAP), part of the company’s strategy for modern workloads including high speed networking, 5G, and artificial intelligence (AI). Xilinx has shipped its first Versal ACAP device (Source: Xilinx)  Xilinx has shipped its first Versal ACAP device (Source: Xilinx) “Having our first Versal ACAP silicon back from TSMC ahead of schedule and shipping to early access customers is a historic milestone and engineering accomplishment,” said Victor Peng, president and CEO of Xilinx, in a statement. “It is the culmination of many years of software and hardware investments and everything we’ve learned about architectures over the past 35 years.”Built on TSMC’s 7-nm FinFET process technology, the first devices to ship are from the Versal Prime series (for a variety of applications) and the Versal AI Core series (for acceleration of AI inference workloads). According to Xilinx, the AI Core series can outperform GPUs by 8X on AI inference (based on sub-2ms latency convolutional neural network performance versus Nvidia V100).In an interview with EETimes Europe, Xilinx’s Nick Ni, director of product marketing for AI, software and ecosystem, said that in the AI accelerator market in particular, there is a lot at stake.“Everybody is betting on something, including [established players] and ASIC startups … we think this is an intelligent bet,” said Ni. “The truth is, nobody has captured the market in AI … it’s just really getting started. Everyone agrees the hardware will be the bottleneck of mass deployment — whoever gets the hardware right for this moving target workload, which is very hard to design for, [will win the bet].” Heterogeneous Compute  Ni said that the rapid pace of innovation in fields such as neural networks and artificial intelligence have so far left hardware running to catch up. Heterogeneous Compute “Developing an ASIC for this market might take a couple of years to develop, verify, and go to market — by then the workload has completely changed,” he said. “When workloads continue to change, efficiency goes down, or you can’t [continue to] support the feature sets needed. … With AI workloads, which require low power and high efficiency, you need domain specific architecture, that is, you need a specific accelerator for each problem that you have.”AI workloads are notoriously diverse and fast-moving in terms of structure. While all neural networks require huge amounts of compute and a lot of data transfer between different multiply-accumulate units (MACs), even basic image recognition workloads differ vastly depending on which neural network is used.“FPGAs have always been in the sweet spot of being able to work on all sorts of workloads efficiently,” he said. “AI has pushed us to the point where that is nice, but it’s not good enough: you really need ASIC-like performance in some portions of your workload, and you also need some flexibility to adapt to the latest innovations.”To accelerate neural networks efficiently in hardware, three things have to be customized for every AI network, Ni explained.First, the data path has to be customized. Data paths vary from the simplest feed-forward networks (e.g., AlexNet) to more complex paths with branches (e.g., GoogleNet), to the latest networks with skip connections and merging paths (e.g., DenseNet).Second, is precision. The less precision you use, the more power you save, which is important for inference on edge devices; AI workloads have different “sweet spots” in terms of the number of bits required.Third, how do you move data around the chip?“Many chip [makers] say they have huge peak performance, but if you can’t pump the data into the engine fast enough, most of the time it’s sitting idle,” said Ni. “The [pace of] innovation of AI is making this part difficult because the more complex the neural networks become, the more complex the data flow becomes, and how you move the data from memory to the engine and back efficiently becomes the bottleneck. This has to be customized for every network.” Domain Specific Architecture  Xilinx’s vision for neural network acceleration is a domain specific architecture in which the data path, precision, and memory hierarchy can all be customized. Domain Specific Architecture “We are pushing from general purpose architecture, from CPUs and GPUs, into special hardware architectures for each problem … creating a custom system for each problem,” he said. “That’s extremely difficult for GPUs and ASICs, but it’s easier for FPGAs as we can reprogram the different hardware architecture for each [neural network].” Xilinx ACAP platform combines programmable logic, CPU cores, DSP engines, and AI accelerator engines (Source: Xilinx)  Xilinx ACAP platform combines programmable logic, CPU cores, DSP engines, and AI accelerator engines (Source: Xilinx) Versal is the first device built on Xilinx’s ACAP. ACAP combines scalar processing blocks (a dual core ARM Cortex-A72 application processor and an ARM Cortex-R5F real-time processor) with adaptable hardware engines (its new name for programmable logic) and intelligent engines (specialized DSP and AI engines), plus memory and interfaces.The AI engine is “basically AI ASIC hardware — it has more flexibility to it [than an ASIC] but it achieves hundreds of TOPS for AI workloads,” Ni said. Up to 400 of these inference engines are included on the Versal AI Core devices.In between the blocks is a software programmable multi-terabit network-on-chip which enables data transfer between the engines, the memory, and the interfaces.“This has been one of the choking points for FPGAs in the past, routing between different logics could degrade the performance, and having an actual ASIC — ahardened network-on-chip topology — we can move the data at a very fast speed, like gigahertz kinds of speed,” said Ni.—  Software Programmability  While FPGAs traditionally had their own specialist programming languages, today’s AI accelerators will need to be accessible to both software and hardware developers and data scientists. Software Programmability “As a company, we have invested significantly in bringing up the ease of use of software tools and frameworks for AI and software,” said Ni, referring to Xilinx’s purchase of Chinese AI startup DeePhi last year.“If we want to go after AI and software developers, we have to support C, C++, OpenCV, OpenCL — those kinds of languages. Then for AI developers, new languages like Python, Caffe, TensorFlow. … We are transforming the way we are hiring more software [people] and investing into tools and frameworks.”Available solutions include Xilinx’s DNNDK and ML Suite platforms, which can compile deep learning frameworks for FPGA boards without writing any C code or RTL code, Ni said.“We will continue to enhance this in the future and import it to Versal,” he said.Versal currently comes with its own development environment with a software stack that includes drivers, middleware, libraries, and software framework support. The Versal AI Core and Versal Prime series will be available in the second half of 2019."
IoT Nets in Two-Horse LPWAN RaceRick Merritt,https://www.eetimes.com/document.asp?doc_id=1334892,https://m.eet.com/media/1312576/LPWANIHScover-min.png,Internet of Things Designline,07.05.19,"SAN JOSE, Calif. — LoRa and cellular’s Narrowband-IoT (NB-IoT) are far ahead of a pack of low-power wide-area networks (LPWANs) staking out early design wins in the internet of things. The LTE-M version of 4G cellular is a distant third, and Sigfox trails, according to a new report from IHS Markit.The report suggests that a once wide-open field is beginning to narrow significantly. However, it’s still early days. IHS estimated that just 150 million LPWAN links were deployed in 2018, a figure that it expects to expand at a 63% compound annual growth rate to hit 1.7 billion links by 2023.It’s also worth noting that some alternatives are just emerging from the lab. For example, multiple vendors are shipping their first chips this year for a 900-MHz version of Wi-Fi called HaLow that’s expected to hold significant promise for long-range connections. And last year, research institute CEA-Leti announced early work on a new option based on a patented Turbo-FSK waveform.That said, IHS forecasts that NB-IoT and LoRa could claim 86% of all LPWAN links in 2023. “We think it is a two-horse race by 2023, with LoRaWAN more in private and NB-IoT mainly in public networks,” said Christian Kim, one of the authors of the report.Interestingly, Huawei’s HiSilicon division is the leading supplier of today’s NB-IoT chips, 90% of which are deployed in China. Taiwan’s Mediatek is second, and China’s RDA Unisoc is third in NB-IoT silicon. NB-IoT had its origins in technology from U.K. startup Neul, acquired by Huawei in 2014.The relatively sluggish market for LTE-M chips is led by Qualcomm, followed by Sequans and Altair. Semtech is by far the dominant supplier of LoRa chips, the current market leader among LPWANs.Overall, 54% of last year’s LPWAN deployments were in China versus about 23% each in the Americas and the EMEA region. Government-backed smart-city projects in China are driving NB-IoT today with deployments in smart meters, parking meters, and streetlights.“Most projects are using government money,” said Kim. “A lot of enterprises have not warmed to NB-IoT, even in China.”To some extent, the LPWANs are solutions seeking problems. IHS currently tracks 20 use cases proposed for the links.The China government is promoting use of NB-IoT in smart homes for electronic locks, smoke detectors, and other uses, and Huawei has talked about its use in agriculture for more efficient dairy farms. However, it has not yet taken hold in such applications to date, Kim said.In the U.S., Wi-Fi and Bluetooth by far dominate in the smart home. And in developed countries, dairy farms are already operating at high efficiency levels, he added.Next page: Sequans, IHS have different views of LTE-MNext page: Sequans, IHS have different views of LTE-M"
